,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
2291,group3305|3206-3|3206-3_03469,unitig_0_chrom|quiver,100.0,1056,0,0,1,1056,2585135,2584080,0.0,1951.0,group3305,3206-3,3206-3_03469
2292,group3306|3206-3|3206-3_03468,unitig_0_chrom|quiver,100.0,153,0,0,1,153,2585284,2585132,4.35e-77,283.0,group3306,3206-3,3206-3_03468
2293,group3307|3206-3|3206-3_03467,unitig_0_chrom|quiver,100.0,552,0,0,1,552,2585956,2585405,0.0,1020.0,group3307,3206-3,3206-3_03467
2294,group3308|3206-3|3206-3_03466,unitig_0_chrom|quiver,100.0,732,0,0,1,732,2586696,2585965,0.0,1352.0,group3308,3206-3,3206-3_03466
2295,group3309|3206-3|3206-3_03465,unitig_0_chrom|quiver,100.0,438,0,0,1,438,2587133,2586696,0.0,809.0,group3309,3206-3,3206-3_03465
2297,group3310|3206-3|3206-3_03464,unitig_0_chrom|quiver,100.0,288,0,0,1,288,2587425,2587138,7.88e-152,532.0,group3310,3206-3,3206-3_03464
3698,group4977|3206-3|3206-3_03463,unitig_0_chrom|quiver,100.0,1350,0,0,1,1350,2588839,2587490,0.0,2494.0,group4977,3206-3,3206-3_03463
3699,group4979|3206-3|3206-3_03460,unitig_0_chrom|quiver,100.0,258,0,0,1,258,2590580,2590323,3.32e-135,477.0,group4979,3206-3,3206-3_03460
3700,group4980|3206-3|3206-3_03459,unitig_0_chrom|quiver,100.0,219,0,0,1,219,2590962,2590744,1.33e-113,405.0,group4980,3206-3,3206-3_03459
3701,group4981|3206-3|3206-3_03458,unitig_0_chrom|quiver,100.0,612,0,0,1,612,2591959,2591348,0.0,1131.0,group4981,3206-3,3206-3_03458
3702,group4982|3206-3|3206-3_03457,unitig_0_chrom|quiver,100.0,360,0,0,1,360,2592365,2592006,0.0,665.0,group4982,3206-3,3206-3_03457
3703,group4983|3206-3|3206-3_03456,unitig_0_chrom|quiver,100.0,315,0,0,1,315,2592676,2592362,8.5e-167,582.0,group4983,3206-3,3206-3_03456
3704,group4984|3206-3|3206-3_03455,unitig_0_chrom|quiver,100.0,594,0,0,1,594,2593390,2592797,0.0,1098.0,group4984,3206-3,3206-3_03455
3705,group4985|3206-3|3206-3_03454,unitig_0_chrom|quiver,100.0,390,0,0,1,390,2593546,2593935,0.0,721.0,group4985,3206-3,3206-3_03454
3706,group4986|3206-3|3206-3_03453,unitig_0_chrom|quiver,100.0,318,0,0,1,318,2594281,2594598,1.85e-168,588.0,group4986,3206-3,3206-3_03453
3707,group4987|3206-3|3206-3_03452,unitig_0_chrom|quiver,100.0,597,0,0,1,597,2594616,2595212,0.0,1103.0,group4987,3206-3,3206-3_03452
12,group10080|3206-3|3206-3_03451,unitig_0_chrom|quiver,100.0,1116,0,0,1,1116,2595637,2596752,0.0,2061.0,group10080,3206-3,3206-3_03451
45,group10381|3206-3|3206-3_03450,unitig_0_chrom|quiver,100.0,393,0,0,1,393,2596764,2597156,0.0,726.0,group10381,3206-3,3206-3_03450
3708,group4988|3206-3|3206-3_03449,unitig_0_chrom|quiver,100.0,792,0,0,1,792,2597411,2598202,0.0,1463.0,group4988,3206-3,3206-3_03449
3709,group4989|3206-3|3206-3_03447,unitig_0_chrom|quiver,100.0,351,0,0,1,351,2599332,2598982,0.0,649.0,group4989,3206-3,3206-3_03447
4754,group9300|3206-3|3206-3_03445,unitig_0_chrom|quiver,100.0,678,0,0,1,678,2599856,2600533,0.0,1253.0,group9300,3206-3,3206-3_03445
4752,group9299|3206-3|3206-3_03444,unitig_0_chrom|quiver,100.0,1398,0,0,1,1398,2600520,2601917,0.0,2582.0,group9299,3206-3,3206-3_03444
4751,group9298|3206-3|3206-3_03443,unitig_0_chrom|quiver,100.0,804,0,0,1,804,2602686,2601883,0.0,1485.0,group9298,3206-3,3206-3_03443
463,group1489|3206-3|3206-3_05489,unitig_0_chrom|quiver,100.0,30,0,0,566,595,2609379,2609350,4.49e-08,56.5,group1489,3206-3,3206-3_05489
3710,group4990|3206-3|3206-3_03435,unitig_0_chrom|quiver,100.0,696,0,0,1,696,2610318,2611013,0.0,1286.0,group4990,3206-3,3206-3_03435
2394,group3408|3206-3|3206-3_00183,unitig_0_chrom|quiver,75.85,853,180,20,432,1268,2621029,2621871,1.81e-114,411.0,group3408,3206-3,3206-3_00183
3762,group5058|3206-3|3206-3_03418,unitig_0_chrom|quiver,100.0,231,0,0,1,231,2624896,2625126,3.02e-120,427.0,group5058,3206-3,3206-3_03418
4431,group6854|3206-3|3206-3_03417,unitig_0_chrom|quiver,100.0,396,0,0,1,396,2625666,2625271,0.0,732.0,group6854,3206-3,3206-3_03417
3763,group5060|3206-3|3206-3_03415,unitig_0_chrom|quiver,100.0,1431,0,0,1,1431,2628121,2629551,0.0,2643.0,group5060,3206-3,3206-3_03415
4277,group5799|3206-3|3206-3_03414,unitig_0_chrom|quiver,100.0,1575,0,0,1,1575,2631384,2629810,0.0,2909.0,group5799,3206-3,3206-3_03414
4279,group5800|3206-3|3206-3_03413,unitig_0_chrom|quiver,100.0,327,0,0,1,327,2632175,2631849,1.89e-173,604.0,group5800,3206-3,3206-3_03413
4434,group6874|3206-3|3206-3_03412,unitig_0_chrom|quiver,100.0,594,0,0,1,594,2632992,2632399,0.0,1098.0,group6874,3206-3,3206-3_03412
4463,group7060|3206-3|3206-3_03388,unitig_0_chrom|quiver,100.0,606,0,0,1,606,2646591,2647196,0.0,1120.0,group7060,3206-3,3206-3_03388
3948,group5293|3206-3|3206-3_03387,unitig_0_chrom|quiver,100.0,780,0,0,1,780,2647583,2648362,0.0,1441.0,group5293,3206-3,3206-3_03387
3951,group5296|3206-3|3206-3_03376,unitig_0_chrom|quiver,100.0,912,0,0,1,912,2658961,2659872,0.0,1685.0,group5296,3206-3,3206-3_03376
3952,group5297|3206-3|3206-3_03375,unitig_0_chrom|quiver,100.0,453,0,0,1,453,2659909,2660361,0.0,837.0,group5297,3206-3,3206-3_03375
3953,group5298|3206-3|3206-3_03374,unitig_0_chrom|quiver,100.0,1722,0,0,1,1722,2660358,2662079,0.0,3181.0,group5298,3206-3,3206-3_03374
3954,group5299|3206-3|3206-3_03373,unitig_0_chrom|quiver,100.0,954,0,0,1,954,2663668,2662715,0.0,1762.0,group5299,3206-3,3206-3_03373
3955,group5300|3206-3|3206-3_03372,unitig_0_chrom|quiver,100.0,393,0,0,1,393,2663966,2664358,0.0,726.0,group5300,3206-3,3206-3_03372
3956,group5301|3206-3|3206-3_03371,unitig_0_chrom|quiver,100.0,246,0,0,1,246,2664619,2664374,1.48e-128,455.0,group5301,3206-3,3206-3_03371
3957,group5302|3206-3|3206-3_03370,unitig_0_chrom|quiver,100.0,198,0,0,1,198,2664744,2664941,5.63e-102,366.0,group5302,3206-3,3206-3_03370
3958,group5303|3206-3|3206-3_03369,unitig_0_chrom|quiver,100.0,279,0,0,1,279,2665207,2665485,7.67e-147,516.0,group5303,3206-3,3206-3_03369
3959,group5304|3206-3|3206-3_03368,unitig_0_chrom|quiver,100.0,2709,0,0,1,2709,2668231,2665523,0.0,5003.0,group5304,3206-3,3206-3_03368
3131,group4277|3206-3|3206-3_03367,unitig_0_chrom|quiver,100.0,3462,0,0,1,3462,2672522,2669061,0.0,6394.0,group4277,3206-3,3206-3_03367
3130,group4276|3206-3|3206-3_03366,unitig_0_chrom|quiver,100.0,771,0,0,1,771,2673389,2672619,0.0,1424.0,group4276,3206-3,3206-3_03366
3129,group4275|3206-3|3206-3_03365,unitig_0_chrom|quiver,100.0,225,0,0,1,225,2673822,2673598,6.35e-117,416.0,group4275,3206-3,3206-3_03365
3128,group4274|3206-3|3206-3_03362,unitig_0_chrom|quiver,100.0,498,0,0,1,498,2675312,2674815,0.0,920.0,group4274,3206-3,3206-3_03362
3127,group4273|3206-3|3206-3_03361,unitig_0_chrom|quiver,100.0,1104,0,0,1,1104,2675421,2676524,0.0,2039.0,group4273,3206-3,3206-3_03361
3126,group4272|3206-3|3206-3_03360,unitig_0_chrom|quiver,100.0,615,0,0,1,615,2676527,2677141,0.0,1136.0,group4272,3206-3,3206-3_03360
3125,group4271|3206-3|3206-3_03359,unitig_0_chrom|quiver,100.0,366,0,0,1,366,2677145,2677510,0.0,676.0,group4271,3206-3,3206-3_03359
3124,group4270|3206-3|3206-3_03358,unitig_0_chrom|quiver,100.0,1143,0,0,1,1143,2678819,2677677,0.0,2111.0,group4270,3206-3,3206-3_03358
3123,group4269|3206-3|3206-3_03357,unitig_0_chrom|quiver,100.0,351,0,0,1,351,2679348,2678998,0.0,649.0,group4269,3206-3,3206-3_03357
3122,group4268|3206-3|3206-3_03356,unitig_0_chrom|quiver,100.0,330,0,0,1,330,2679674,2679345,4.1e-175,610.0,group4268,3206-3,3206-3_03356
3121,group4267|3206-3|3206-3_03355,unitig_0_chrom|quiver,100.0,687,0,0,1,687,2679747,2680433,0.0,1269.0,group4267,3206-3,3206-3_03355
3120,group4266|3206-3|3206-3_03354,unitig_0_chrom|quiver,100.0,462,0,0,1,462,2680940,2680479,0.0,854.0,group4266,3206-3,3206-3_03354
4483,group7197|3206-3|3206-3_03353,unitig_0_chrom|quiver,100.0,261,0,0,1,261,2681367,2681107,7.23e-137,483.0,group7197,3206-3,3206-3_03353
297,group1346|3206-3|3206-3_05860,unitig_0_chrom|quiver,83.226,155,24,2,995,1148,2689136,2689289,3.38e-33,141.0,group1346,3206-3,3206-3_05860
3117,group4264|3206-3|3206-3_03345,unitig_0_chrom|quiver,100.0,690,0,0,1,690,2689865,2690554,0.0,1275.0,group4264,3206-3,3206-3_03345
3116,group4263|3206-3|3206-3_03344,unitig_0_chrom|quiver,100.0,648,0,0,1,648,2691522,2690875,0.0,1197.0,group4263,3206-3,3206-3_03344
3115,group4262|3206-3|3206-3_03343,unitig_0_chrom|quiver,100.0,1416,0,0,1,1416,2691795,2693210,0.0,2615.0,group4262,3206-3,3206-3_03343
3114,group4261|3206-3|3206-3_03342,unitig_0_chrom|quiver,100.0,1299,0,0,1,1299,2693214,2694512,0.0,2399.0,group4261,3206-3,3206-3_03342
3113,group4260|3206-3|3206-3_03341,unitig_0_chrom|quiver,100.0,612,0,0,1,612,2694542,2695153,0.0,1131.0,group4260,3206-3,3206-3_03341
4655,group8622|3206-3|3206-3_03337,unitig_0_chrom|quiver,100.0,351,0,0,1,351,2701746,2702096,0.0,649.0,group8622,3206-3,3206-3_03337
4168,group5639|3206-3|3206-3_03336,unitig_0_chrom|quiver,100.0,699,0,0,1,699,2702877,2702179,0.0,1291.0,group5639,3206-3,3206-3_03336
4416,group6725|3206-3|3206-3_03335,unitig_0_chrom|quiver,100.0,486,0,0,1,486,2703067,2703552,0.0,898.0,group6725,3206-3,3206-3_03335
3112,group4259|3206-3|3206-3_03340,unitig_0_chrom|quiver,91.011,178,15,1,2721,2898,2703557,2703733,2.08e-62,239.0,group4259,3206-3,3206-3_03340
4167,group5638|3206-3|3206-3_03333,unitig_0_chrom|quiver,100.0,426,0,0,1,426,2705274,2705699,0.0,787.0,group5638,3206-3,3206-3_03333
4166,group5637|3206-3|3206-3_03332,unitig_0_chrom|quiver,100.0,309,0,0,1,309,2705828,2706136,1.8e-163,571.0,group5637,3206-3,3206-3_03332
4165,group5636|3206-3|3206-3_03331,unitig_0_chrom|quiver,100.0,900,0,0,1,900,2707072,2706173,0.0,1663.0,group5636,3206-3,3206-3_03331
4164,group5635|3206-3|3206-3_03330,unitig_0_chrom|quiver,100.0,873,0,0,1,873,2707961,2707089,0.0,1613.0,group5635,3206-3,3206-3_03330
4163,group5634|3206-3|3206-3_03329,unitig_0_chrom|quiver,100.0,750,0,0,1,750,2708707,2707958,0.0,1386.0,group5634,3206-3,3206-3_03329
4162,group5633|3206-3|3206-3_03328,unitig_0_chrom|quiver,100.0,129,0,0,1,129,2708832,2708704,7.81e-64,239.0,group5633,3206-3,3206-3_03328
699,group1693|3206-3|3206-3_03327,unitig_0_chrom|quiver,100.0,693,0,0,1,693,2710215,2709523,0.0,1280.0,group1693,3206-3,3206-3_03327
698,group1692|3206-3|3206-3_03326,unitig_0_chrom|quiver,100.0,708,0,0,1,708,2710942,2710235,0.0,1308.0,group1692,3206-3,3206-3_03326
697,group1691|3206-3|3206-3_03325,unitig_0_chrom|quiver,100.0,825,0,0,1,825,2711820,2710996,0.0,1524.0,group1691,3206-3,3206-3_03325
696,group1690|3206-3|3206-3_03324,unitig_0_chrom|quiver,100.0,741,0,0,1,741,2712577,2711837,0.0,1369.0,group1690,3206-3,3206-3_03324
695,group1689|3206-3|3206-3_03323,unitig_0_chrom|quiver,100.0,1491,0,0,1,1491,2714060,2712570,0.0,2754.0,group1689,3206-3,3206-3_03323
694,group1688|3206-3|3206-3_03322,unitig_0_chrom|quiver,100.0,999,0,0,1,999,2715055,2714057,0.0,1845.0,group1688,3206-3,3206-3_03322
693,group1687|3206-3|3206-3_03321,unitig_0_chrom|quiver,100.0,483,0,0,1,483,2715216,2715698,0.0,893.0,group1687,3206-3,3206-3_03321
692,group1686|3206-3|3206-3_03320,unitig_0_chrom|quiver,100.0,576,0,0,1,576,2715695,2716270,0.0,1064.0,group1686,3206-3,3206-3_03320
691,group1685|3206-3|3206-3_03319,unitig_0_chrom|quiver,100.0,486,0,0,1,486,2717189,2716704,0.0,898.0,group1685,3206-3,3206-3_03319
690,group1684|3206-3|3206-3_03318,unitig_0_chrom|quiver,100.0,852,0,0,1,852,2718197,2717346,0.0,1574.0,group1684,3206-3,3206-3_03318
689,group1683|3206-3|3206-3_03317,unitig_0_chrom|quiver,100.0,606,0,0,1,606,2718339,2718944,0.0,1120.0,group1683,3206-3,3206-3_03317
688,group1682|3206-3|3206-3_03316,unitig_0_chrom|quiver,100.0,192,0,0,1,192,2719060,2719251,1.18e-98,355.0,group1682,3206-3,3206-3_03316
687,group1681|3206-3|3206-3_03315,unitig_0_chrom|quiver,100.0,1086,0,0,1,1086,2719347,2720432,0.0,2006.0,group1681,3206-3,3206-3_03315
686,group1680|3206-3|3206-3_03314,unitig_0_chrom|quiver,100.0,456,0,0,1,456,2721174,2720719,0.0,843.0,group1680,3206-3,3206-3_03314
685,group1679|3206-3|3206-3_03313,unitig_0_chrom|quiver,100.0,966,0,0,1,966,2722136,2721171,0.0,1784.0,group1679,3206-3,3206-3_03313
684,group1678|3206-3|3206-3_03312,unitig_0_chrom|quiver,100.0,1002,0,0,1,1002,2723208,2722207,0.0,1851.0,group1678,3206-3,3206-3_03312
683,group1677|3206-3|3206-3_03311,unitig_0_chrom|quiver,100.0,756,0,0,1,756,2724027,2723272,0.0,1397.0,group1677,3206-3,3206-3_03311
682,group1676|3206-3|3206-3_03310,unitig_0_chrom|quiver,100.0,381,0,0,1,381,2724400,2724020,0.0,704.0,group1676,3206-3,3206-3_03310
681,group1675|3206-3|3206-3_03309,unitig_0_chrom|quiver,100.0,642,0,0,1,642,2724638,2725279,0.0,1186.0,group1675,3206-3,3206-3_03309
680,group1674|3206-3|3206-3_03308,unitig_0_chrom|quiver,100.0,879,0,0,1,879,2726460,2725582,0.0,1624.0,group1674,3206-3,3206-3_03308
679,group1673|3206-3|3206-3_03307,unitig_0_chrom|quiver,100.0,609,0,0,1,609,2727130,2726522,0.0,1125.0,group1673,3206-3,3206-3_03307
678,group1672|3206-3|3206-3_03306,unitig_0_chrom|quiver,100.0,141,0,0,1,141,2727267,2727127,1.85e-70,261.0,group1672,3206-3,3206-3_03306
677,group1671|3206-3|3206-3_03305,unitig_0_chrom|quiver,100.0,951,0,0,1,951,2728217,2727267,0.0,1757.0,group1671,3206-3,3206-3_03305
676,group1670|3206-3|3206-3_03304,unitig_0_chrom|quiver,100.0,1701,0,0,1,1701,2729985,2728285,0.0,3142.0,group1670,3206-3,3206-3_03304
675,group1669|3206-3|3206-3_03303,unitig_0_chrom|quiver,100.0,885,0,0,1,885,2730887,2730003,0.0,1635.0,group1669,3206-3,3206-3_03303
674,group1668|3206-3|3206-3_03302,unitig_0_chrom|quiver,100.0,642,0,0,1,642,2731228,2731869,0.0,1186.0,group1668,3206-3,3206-3_03302
673,group1667|3206-3|3206-3_03301,unitig_0_chrom|quiver,100.0,1416,0,0,1,1416,2732236,2733651,0.0,2615.0,group1667,3206-3,3206-3_03301
672,group1666|3206-3|3206-3_03300,unitig_0_chrom|quiver,100.0,492,0,0,1,492,2733669,2734160,0.0,909.0,group1666,3206-3,3206-3_03300
671,group1664|3206-3|3206-3_03298,unitig_0_chrom|quiver,100.0,1284,0,0,1,1284,2735910,2734627,0.0,2372.0,group1664,3206-3,3206-3_03298
670,group1663|3206-3|3206-3_03297,unitig_0_chrom|quiver,100.0,1038,0,0,1,1038,2736173,2737210,0.0,1917.0,group1663,3206-3,3206-3_03297
669,group1662|3206-3|3206-3_03296,unitig_0_chrom|quiver,100.0,621,0,0,1,621,2737837,2737217,0.0,1147.0,group1662,3206-3,3206-3_03296
668,group1661|3206-3|3206-3_03295,unitig_0_chrom|quiver,100.0,459,0,0,1,459,2737903,2738361,0.0,848.0,group1661,3206-3,3206-3_03295
667,group1660|3206-3|3206-3_03294,unitig_0_chrom|quiver,100.0,1218,0,0,1,1218,2738632,2739849,0.0,2250.0,group1660,3206-3,3206-3_03294
666,group1659|3206-3|3206-3_03293,unitig_0_chrom|quiver,100.0,819,0,0,1,819,2739971,2740789,0.0,1513.0,group1659,3206-3,3206-3_03293
665,group1658|3206-3|3206-3_03292,unitig_0_chrom|quiver,100.0,591,0,0,1,591,2740813,2741403,0.0,1092.0,group1658,3206-3,3206-3_03292
664,group1657|3206-3|3206-3_03291,unitig_0_chrom|quiver,100.0,261,0,0,1,261,2741872,2741612,7.23e-137,483.0,group1657,3206-3,3206-3_03291
661,group1655|3206-3|3206-3_03289,unitig_0_chrom|quiver,100.0,1146,0,0,1,1146,2745481,2746626,0.0,2117.0,group1655,3206-3,3206-3_03289
660,group1654|3206-3|3206-3_03288,unitig_0_chrom|quiver,100.0,1104,0,0,1,1104,2746639,2747742,0.0,2039.0,group1654,3206-3,3206-3_03288
659,group1653|3206-3|3206-3_03287,unitig_0_chrom|quiver,100.0,1191,0,0,1,1191,2749103,2747913,0.0,2200.0,group1653,3206-3,3206-3_03287
658,group1652|3206-3|3206-3_03286,unitig_0_chrom|quiver,100.0,675,0,0,1,675,2749413,2750087,0.0,1247.0,group1652,3206-3,3206-3_03286
657,group1651|3206-3|3206-3_03285,unitig_0_chrom|quiver,100.0,609,0,0,1,609,2750087,2750695,0.0,1125.0,group1651,3206-3,3206-3_03285
656,group1650|3206-3|3206-3_03284,unitig_0_chrom|quiver,100.0,567,0,0,1,567,2750720,2751286,0.0,1048.0,group1650,3206-3,3206-3_03284
655,group1649|3206-3|3206-3_03283,unitig_0_chrom|quiver,100.0,513,0,0,1,513,2751424,2751936,0.0,948.0,group1649,3206-3,3206-3_03283
654,group1648|3206-3|3206-3_03282,unitig_0_chrom|quiver,100.0,792,0,0,1,792,2752069,2752860,0.0,1463.0,group1648,3206-3,3206-3_03282
653,group1647|3206-3|3206-3_03281,unitig_0_chrom|quiver,100.0,1140,0,0,1,1140,2752857,2753996,0.0,2106.0,group1647,3206-3,3206-3_03281
652,group1646|3206-3|3206-3_03280,unitig_0_chrom|quiver,100.0,1545,0,0,1,1545,2756011,2754467,0.0,2854.0,group1646,3206-3,3206-3_03280
651,group1643|3206-3|3206-3_03274,unitig_0_chrom|quiver,100.0,1347,0,0,1,1347,2762738,2761392,0.0,2488.0,group1643,3206-3,3206-3_03274
650,group1642|3206-3|3206-3_03273,unitig_0_chrom|quiver,100.0,1515,0,0,1,1515,2764349,2762835,0.0,2798.0,group1642,3206-3,3206-3_03273
649,group1641|3206-3|3206-3_03272,unitig_0_chrom|quiver,100.0,1425,0,0,1,1425,2765770,2764346,0.0,2632.0,group1641,3206-3,3206-3_03272
648,group1640|3206-3|3206-3_03271,unitig_0_chrom|quiver,100.0,651,0,0,1,651,2765948,2766598,0.0,1203.0,group1640,3206-3,3206-3_03271
647,group1639|3206-3|3206-3_03270,unitig_0_chrom|quiver,100.0,747,0,0,1,747,2767429,2766683,0.0,1380.0,group1639,3206-3,3206-3_03270
646,group1638|3206-3|3206-3_03269,unitig_0_chrom|quiver,100.0,1131,0,0,1,1131,2768723,2767593,0.0,2089.0,group1638,3206-3,3206-3_03269
645,group1637|3206-3|3206-3_03268,unitig_0_chrom|quiver,100.0,813,0,0,1,813,2769624,2768812,0.0,1502.0,group1637,3206-3,3206-3_03268
644,group1636|3206-3|3206-3_03267,unitig_0_chrom|quiver,100.0,933,0,0,1,933,2770622,2769690,0.0,1724.0,group1636,3206-3,3206-3_03267
643,group1635|3206-3|3206-3_03266,unitig_0_chrom|quiver,100.0,1134,0,0,1,1134,2771227,2772360,0.0,2095.0,group1635,3206-3,3206-3_03266
642,group1634|3206-3|3206-3_03265,unitig_0_chrom|quiver,100.0,1041,0,0,1,1041,2772366,2773406,0.0,1923.0,group1634,3206-3,3206-3_03265
641,group1633|3206-3|3206-3_03264,unitig_0_chrom|quiver,100.0,828,0,0,1,828,2773416,2774243,0.0,1530.0,group1633,3206-3,3206-3_03264
640,group1632|3206-3|3206-3_03263,unitig_0_chrom|quiver,100.0,822,0,0,1,822,2774236,2775057,0.0,1519.0,group1632,3206-3,3206-3_03263
639,group1631|3206-3|3206-3_03262,unitig_0_chrom|quiver,100.0,1425,0,0,1,1425,2775102,2776526,0.0,2632.0,group1631,3206-3,3206-3_03262
638,group1630|3206-3|3206-3_03261,unitig_0_chrom|quiver,100.0,672,0,0,1,672,2776528,2777199,0.0,1242.0,group1630,3206-3,3206-3_03261
637,group1629|3206-3|3206-3_03260,unitig_0_chrom|quiver,100.0,402,0,0,1,402,2777736,2777335,0.0,743.0,group1629,3206-3,3206-3_03260
636,group1628|3206-3|3206-3_03259,unitig_0_chrom|quiver,100.0,936,0,0,1,936,2778024,2778959,0.0,1729.0,group1628,3206-3,3206-3_03259
635,group1627|3206-3|3206-3_03258,unitig_0_chrom|quiver,100.0,252,0,0,1,252,2778962,2779213,7.01e-132,466.0,group1627,3206-3,3206-3_03258
634,group1626|3206-3|3206-3_03257,unitig_0_chrom|quiver,100.0,768,0,0,1,768,2779300,2780067,0.0,1419.0,group1626,3206-3,3206-3_03257
633,group1625|3206-3|3206-3_03256,unitig_0_chrom|quiver,100.0,924,0,0,1,924,2780154,2781077,0.0,1707.0,group1625,3206-3,3206-3_03256
3794,group5076|3206-3|3206-3_07470,unitig_0_chrom|quiver,95.455,44,2,0,1,44,2781184,2781227,2.48e-12,71.3,group5076,3206-3,3206-3_07470
632,group1624|3206-3|3206-3_03255,unitig_0_chrom|quiver,100.0,1917,0,0,1,1917,2781323,2783239,0.0,3541.0,group1624,3206-3,3206-3_03255
3626,group4907|3206-3|3206-3_04970,unitig_0_chrom|quiver,77.308,639,131,12,1456,2087,2784366,2783735,2.7e-100,364.0,group4907,3206-3,3206-3_04970
626,group1622|3206-3|3206-3_03253,unitig_0_chrom|quiver,100.0,996,0,0,1,996,2786652,2785657,0.0,1840.0,group1622,3206-3,3206-3_03253
625,group1621|3206-3|3206-3_03252,unitig_0_chrom|quiver,100.0,864,0,0,1,864,2786664,2787527,0.0,1596.0,group1621,3206-3,3206-3_03252
624,group1620|3206-3|3206-3_03251,unitig_0_chrom|quiver,100.0,1251,0,0,1,1251,2787524,2788774,0.0,2311.0,group1620,3206-3,3206-3_03251
623,group1619|3206-3|3206-3_03249,unitig_0_chrom|quiver,100.0,1005,0,0,1,1005,2789252,2790256,0.0,1857.0,group1619,3206-3,3206-3_03249
622,group1618|3206-3|3206-3_03248,unitig_0_chrom|quiver,100.0,756,0,0,1,756,2791074,2790319,0.0,1397.0,group1618,3206-3,3206-3_03248
621,group1617|3206-3|3206-3_03247,unitig_0_chrom|quiver,100.0,1779,0,0,1,1779,2792882,2791104,0.0,3286.0,group1617,3206-3,3206-3_03247
620,group1616|3206-3|3206-3_03246,unitig_0_chrom|quiver,100.0,996,0,0,1,996,2793092,2794087,0.0,1840.0,group1616,3206-3,3206-3_03246
619,group1615|3206-3|3206-3_03245,unitig_0_chrom|quiver,100.0,480,0,0,1,480,2794811,2794332,0.0,887.0,group1615,3206-3,3206-3_03245
618,group1614|3206-3|3206-3_03244,unitig_0_chrom|quiver,100.0,1245,0,0,1,1245,2796282,2795038,0.0,2300.0,group1614,3206-3,3206-3_03244
617,group1613|3206-3|3206-3_03243,unitig_0_chrom|quiver,100.0,609,0,0,1,609,2796701,2797309,0.0,1125.0,group1613,3206-3,3206-3_03243
3629,group4910|3206-3|3206-3_03242,unitig_0_chrom|quiver,100.0,975,0,0,1,975,2797450,2798424,0.0,1801.0,group4910,3206-3,3206-3_03242
3630,group4911|3206-3|3206-3_03241,unitig_0_chrom|quiver,100.0,1431,0,0,1,1431,2798457,2799887,0.0,2643.0,group4911,3206-3,3206-3_03241
3632,group4912|3206-3|3206-3_03240,unitig_0_chrom|quiver,84.375,96,9,2,1273,1365,2801192,2801100,2.6e-17,89.8,group4912,3206-3,3206-3_03240
3633,group4912|3206-3|3206-3_03240,unitig_0_chrom|quiver,84.375,96,9,2,2110,2202,2802029,2801937,2.6e-17,89.8,group4912,3206-3,3206-3_03240
3634,group4913|3206-3|3206-3_03239,unitig_0_chrom|quiver,100.0,567,0,0,1,567,2803536,2804102,0.0,1048.0,group4913,3206-3,3206-3_03239
3635,group4914|3206-3|3206-3_03238,unitig_0_chrom|quiver,100.0,969,0,0,1,969,2805156,2804188,0.0,1790.0,group4914,3206-3,3206-3_03238
3636,group4915|3206-3|3206-3_03237,unitig_0_chrom|quiver,100.0,813,0,0,1,813,2806119,2805307,0.0,1502.0,group4915,3206-3,3206-3_03237
3637,group4916|3206-3|3206-3_03236,unitig_0_chrom|quiver,100.0,582,0,0,1,582,2807102,2806521,0.0,1075.0,group4916,3206-3,3206-3_03236
3638,group4917|3206-3|3206-3_03235,unitig_0_chrom|quiver,100.0,1260,0,0,1,1260,2808429,2807170,0.0,2327.0,group4917,3206-3,3206-3_03235
3639,group4918|3206-3|3206-3_03234,unitig_0_chrom|quiver,100.0,2310,0,0,1,2310,2810872,2808563,0.0,4266.0,group4918,3206-3,3206-3_03234
3640,group4919|3206-3|3206-3_03233,unitig_0_chrom|quiver,100.0,2115,0,0,1,2115,2811092,2813206,0.0,3906.0,group4919,3206-3,3206-3_03233
3641,group4920|3206-3|3206-3_03232,unitig_0_chrom|quiver,100.0,489,0,0,1,489,2813265,2813753,0.0,904.0,group4920,3206-3,3206-3_03232
4015,group5404|3206-3|3206-3_01718,unitig_0_chrom|quiver,81.776,214,37,2,1343,1555,2814392,2814180,3.16e-44,178.0,group5404,3206-3,3206-3_01718
3647,group4922|3206-3|3206-3_03230,unitig_0_chrom|quiver,100.0,462,0,0,1,462,2816531,2816070,0.0,854.0,group4922,3206-3,3206-3_03230
3648,group4923|3206-3|3206-3_03229,unitig_0_chrom|quiver,100.0,1278,0,0,1,1278,2817908,2816631,0.0,2361.0,group4923,3206-3,3206-3_03229
3804,group5086|3206-3|3206-3_07460,unitig_0_chrom|quiver,100.0,1263,0,0,1,1263,2821207,2819945,0.0,2333.0,group5086,3206-3,3206-3_07460
3803,group5085|3206-3|3206-3_07461,unitig_0_chrom|quiver,100.0,552,0,0,1,552,2821847,2821296,0.0,1020.0,group5085,3206-3,3206-3_07461
3802,group5084|3206-3|3206-3_07462,unitig_0_chrom|quiver,100.0,936,0,0,1,936,2822922,2821987,0.0,1729.0,group5084,3206-3,3206-3_07462
3801,group5083|3206-3|3206-3_07463,unitig_0_chrom|quiver,100.0,192,0,0,1,192,2823407,2823216,1.18e-98,355.0,group5083,3206-3,3206-3_07463
